u15,510,9337,23406
u50,329,11155,25223
u85,148,203,27040
u22,967,2020,28857
u58,786,3837,30675
u93,605,5654,32492
u29,424,7472,34309
u64,244,9289,36126
u99,63,11106,37943
u36,881,12923,39761
u71,700,14741,11578
u7,519,16558,10627
u42,538,18375,12444
u78,357,193,14262
u14,176,2010,16079
u49,994,3828,17896
u84,814,5645,19713
u21,633,7462,21530
u56,452,9279,23348
u91,271,11097,25165
u27,90,145,26982
u63,909,1962,28799
u99,728,3779,30617
u35,547,5596,32434
u70,366,7414,34251
u6,186,9231,36068
u42,5,11048,37885
u77,823,12865,39703
u13,642,14683,11520
u48,462,16500,10569
u83,480,18317,12386
u20,299,135,14204
u55,118,1953,16021
u90,936,3770,17838
u26,756,5587,19655
u62,575,7404,21472
u97,249,13291,10128
u42,69,15108,11945
u78,87,16925,10994
u14,905,18742,12812
u49,724,561,14629
u84,544,2378,16446
u20,363,4195,18263
u56,182,6012,20081
u91,1,7830,21898
u27,819,9647,23715
u62,639,11464,25532
u98,458,512,27350
u35,277,2329,29167
u70,96,4147,30984
u6,915,5964,32801
u41,734,7781,34618
u77,553,9598,36436
u13,372,11416,38253
u48,191,13233,10070
u83,11,15050,11887
u20,29,16867,10937
u55,847,18684,12754
u90,666,503,14571
u26,486,2320,16388
u62,305,4137,18205
u97,124,5954,20023
u33,942,7772,21840
u68,761,9589,23657
u4,581,11406,25474
u40,400,454,27292
u76,219,2271,29109
u12,38,4089,30926
u47,857,5906,32743
u83,676,7723,34560
u19,495,9540,36378
u54,314,11358,38195
u89,134,13175,10012
u25,952,14992,11829
u61,771,16809,10879
u96,789,18627,12696
u32,608,445,14513
u67,428,2262,16330
u4,247,4079,18147
u39,66,5896,19965
u74,884,7714,21782
u10,704,9531,23599
u45,523,11348,25416
u81,342,396,27234
u18,161,2214,29051
u53,979,4031,30868
u88,799,5848,32685
u25,618,7665,34503
u60,437,9482,36320
u95,256,11300,38137
u31,76,13117,39954
u66,894,14934,11771
u3,713,16751,10821
u38,731,18569,12638
u73,550,387,14455
u9,370,2204,16272
u45,189,4021,18090
u80,8,5838,19907
u16,826,7656,21724
u51,646,9473,23541
u87,465,11290,25358
u23,284,338,27176
u59,103,2156,28993
u94,922,3973,30810
u30,741,5790,32627
u66,560,7607,34445
u2,379,9424,36262
u37,198,11242,38079
u72,18,13059,39896
u9,836,14876,11713
u44,655,16693,10763
u79,673,18511,12580
u15,493,329,14397
u50,312,2146,16214
u86,131,3963,18032
u22,949,5781,19849
u57,768,7598,21666
u92,588,9415,23483
u29,407,11232,25301
u64,226,280,27118
u1,45,2098,28935
u36,864,3915,30752
u71,683,5732,32569
u8,502,7549,34387
u43,321,9367,36204
u78,140,11184,38021
u14,959,13001,39838
u50,778,14818,11656
u85,597,16635,10705
u21,615,18453,12522
u56,435,271,14339
u92,254,2088,16156
u28,73,3905,17974
u63,891,5723,19791
u98,710,7540,21608
u34,530,9357,23425
u70,349,11174,25243
u6,168,222,27060
u42,986,2040,28877
u77,806,3857,30694
u14,625,5674,32511
u49,444,7491,34329
u84,263,9309,36146
u20,83,11126,37963
u55,901,12943,39780
u91,720,14760,11598
u27,539,16578,10647
u62,557,18395,12464
u97,377,213,14281
u34,196,2030,16098
u69,15,3847,17916
u5,833,5665,19733
u40,653,7482,21550
u75,472,9299,23367
u12,291,11116,25185
u47,110,165,27002
u83,928,1982,28819
u19,748,3799,30636
u55,567,5616,32454
u90,386,7433,34271
u26,205,9251,36088
u61,25,11068,37905
u97,843,12885,39722
u33,662,14702,11540
u68,481,16520,10589
u4,499,18337,12406
u39,319,155,14223
u75,138,1972,16041
u11,956,3789,17858
u46,775,5607,19675
u81,595,7424,21492
u18,414,9241,23309
u53,233,11058,25127
u88,52,107,26944
u25,871,1924,28761
u60,690,3741,30578
u96,509,5558,32396
u32,328,7375,34213
u67,147,9193,36030
u3,966,11010,37847
u39,785,12827,39664
u74,604,14644,11482
u10,423,16462,10531
u45,442,18279,12348
u80,261,97,14165
u17,80,1914,15983
u52,898,3732,17800
u87,717,5549,19617
u23,537,7366,21434
u59,356,9183,23252
u94,175,11000,25069
u30,993,49,26886
u66,813,1866,28703
u2,632,3683,30520
u38,451,5500,32338
u73,270,7318,34155
u9,89,9135,35972
u44,908,10952,37789
u80,727,12769,39607
u16,546,14586,11424
u51,365,16404,10473
u86,384,18221,12290
u23,203,39,14107
u58,22,1856,15925
u93,840,3674,17742
u29,660,5491,19559
u64,479,7308,21376
u1,298,9125,23194
u36,117,10942,25011
u71,935,12760,26828
u8,755,1808,28645
u44,574,3625,30462
u79,393,5442,32280
u15,212,7260,34097
u50,32,9077,35914
u85,850,10894,37731
u22,669,12711,39549
u57,488,14529,11366
u92,307,16346,10415
u28,326,18163,12232
u64,145,19980,14049
u99,963,1798,15867
u35,782,3616,17684
u70,602,5433,19501
u6,421,7250,21318
u42,240,9067,23136
u77,59,10885,24953
u13,877,12702,26770
u49,697,1750,28587
u85,516,3567,30405
u21,335,5384,32222
u56,154,7202,34039
u91,973,9019,35856
u28,792,10836,37673
u63,611,12653,39491
u98,430,14471,11308
u34,249,16288,10357
u69,268,18105,12174
u6,87,19922,13992
u41,905,1740,15809
u76,724,3558,17626
u12,544,5375,19443
u48,363,7192,21260
u83,182,9009,23078
u19,1,10827,24895
u54,820,12644,26712
u90,639,1692,28529
u27,458,3509,30347
u62,277,5327,32164
u97,96,7144,33981
u33,915,8961,35798
u69,734,10778,37615
u5,553,12595,39433
u40,372,14413,11250
u75,192,16230,10299
u11,210,18047,12116
u47,29,19864,13934
u82,847,1683,15751
u18,666,3500,17568
u53,486,5317,19385
u89,305,7134,21203
u25,124,8951,23020
u60,942,10769,24837
u95,762,12586,26654
u32,581,1634,28471
u68,400,3451,30289
u4,219,5269,32106
u39,38,7086,33923
u74,857,8903,35740
u11,676,10720,37558
u46,495,12537,39375
u81,314,14355,11192
u17,134,16172,10241
u53,152,17989,12058
u88,970,19806,13876
u24,789,1625,15693
u59,609,3442,17510
u94,428,5259,19327
u31,247,7076,21145
u66,66,8893,22962
u2,884,10711,24779
u37,704,12528,26596
u74,523,1576,28413
u10,342,3393,30231
u45,161,5211,32048
u80,980,7028,33865
u16,799,8845,35682
u52,618,10662,37500
u87,437,12480,39317
u23,256,14297,11134
u58,76,16114,10183
u94,94,17931,12000
u30,912,19748,13818
u65,731,1567,15635
u1,551,3384,17452
u36,370,5201,19269
u72,189,7018,21087
u8,8,8836,22904
u43,826,10653,24721
u78,646,12470,26538
