2,73 82 90 1
3,9 18 27 36
4,44 54 62 71
5,80 89 98 7
6,17 25 34 43
7,52 60 70 78
8,87 95 6 14
9,23 32 41 49
10,59 67 76 85
11,94 3 12 21
12,30 38 48 56
13,65 74 83 92
14,1 11 19 28
15,37 46 54 64
16,72 81 90 99
17,8 17 26 35
18,43 53 61 70
19,79 88 96 7
20,15 24 32 42
21,50 59 68 77
22,85 95 4 13
23,23 31 40 48
24,58 66 75 84
25,93 2 12 20
26,29 38 47 55
27,64 73 82 90
28,1 9 18 27
29,36 44 53 62
30,71 79 89 97
31,7 16 25 34
32,43 52 60 69
33,78 87 95 6
34,14 23 32 41
35,49 59 67 76
36,84 94 3 12
37,21 30 38 48
38,56 65 74 83
39,91 1 10 19
40,27 37 45 54
41,64 72 81 90
42,99 8 17 26
43,35 43 53 61
44,70 79 88 96
45,6 15 24 32
46,42 50 59 68
47,77 85 95 4
48,13 21 31 39
49,48 57 66 74
50,84 93 2 12
51,20 29 37 47
52,55 64 73 82
53,90 1 9 27
54,36 44 53 62
55,71 79 89 97
56,7 16 25 33
57,42 51 60 68
58,78 86 95 6
59,14 23 32 41
60,49 58 67 76
61,84 94 3 12
62,21 30 38 48
63,56 65 73 83
64,91 1 10 19
65,27 37 45 54
66,63 72 80 89
67,98 8 16 26
68,35 43 53 61
69,70 79 88 96
70,6 15 24 32
71,42 50 59 68
72,77 85 94 4
73,13 21 31 39
74,48 57 66 74
75,84 92 2 10
76,20 28 37 47
77,55 64 73 82
78,90 1 9 18
79,26 36 44 53
80,62 71 79 89
81,97 7 16 25
82,33 42 51 60
83,68 78 86 95
84,5 14 22 32
85,40 49 57 67
86,76 84 94 3
87,12 21 30 38
88,47 56 65 73
89,83 91 1 10
90,19 27 37 45
91,54 62 72 80
92,89 98 8 16
93,26 34 43 52
94,61 69 78 88
95,96 6 15 24
96,32 42 50 59
97,68 77 85 94
98,4 13 21 31
99,39 48 57 66
100,74 83 92 2
101,10 20 28 37
